S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
182,Ward 9,11655,कामपा ९ वडा तिनकुने मा रहेेको न्यू रेसुंगा फेमिली भोजनालय एण्ड खाजा घरले बासी सडेगलेको खाना खुवाइरहेको छ । अनुगमन गर्नुपर्यो ।,8/12/2024,कृषि तथा पशुपक्षी विभाग,closed
183,Ward 11,11653,११ वडा ववरमहलकाे विच बाटाेमा गाडिले हानेर उठ्न नसक्ने अवस्थाकाे कुकुर विरामि छ जतिसक्दाे छिटाे उपचार गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,8/12/2024,कृषि तथा पशुपक्षी विभाग,closed
184,Ward 32,11651,कामपा ३२ वडा पेप्सीकोला दाउरा थकाली बाट भित्र जाँदा सानो बाल संस्कार स्कुल नजिक एउटा सानो street dog बिरामी भएर उद्दार गरिएको मा उक्त कुकुर अस्ति रेबिज भएर मरेको रिपोर्ट आयो । हिजो देखि त्यो कुकुरको आमा पनि बिरामी अवस्थामा छ र समुहमा पनि अरु ६/७ वटा कुकुरहरु छन् । त्यसलाई पनि रेबिज भएको हुन सक्छ । छिटो उपचार तथा उद्दार गरिदिनुपर्यो ।,8/12/2024,कृषि तथा पशुपक्षी विभाग,closed
185,Ward 16,11648,कामपा १६ वडा सोह्रखुट्टे प्रहरी वृत अगाडी कसैले छाडेको कुकुर घाउ भएर उठ्न नसक्ने अवस्थाको छ । सिघ्र उपचार गर्न पर्यो भन्ने गुनासो आएको छ ।,8/11/2024,कृषि तथा पशुपक्षी विभाग,closed
186,Ward 4,11639,कामपा ४ वडा धुम्वराही पिपलबोट रा.प्र.पा. पाटी कार्यालय सँगै रहेको महिला प्रयास बचत ऋण सहकारीमा १ वटा सडक कुकुर छिरेर बाहिर निस्कन सकेको छैन ।,8/9/2024,कृषि तथा पशुपक्षी विभाग,closed
187,Ward 2,11638,वडा २  नक्साल भाटभटेनिमा खजुरकाे प्याकेट किनेकाे सबै किरा परेकाे रैछ  म सँग आवश्यक प्रमाण पनि छ साथै  डेट गएका खानेकुराहरु धेरै छन् अनुगमन गरी कारबाहि गरिनुपर्याे भन्ने गुनासाे आएकाे छ ,8/9/2024,कृषि तथा पशुपक्षी विभाग,closed
188,NoWard,11632,रानिबारी चाेक पुलिस बिट नजिक घरधनि सुर्यबहादुर कडेलले आफ्नाे पसलमा  विना दर्ता सच्चालन गरेकाे म्याद गुज्रेकाे सामान माैकाकाे फाइदा उठाइ आदि मुल्यमा लैजानु र खानु भन्छ भन्ने गुनासाे आएकाे छ । ,8/8/2024,कृषि तथा पशुपक्षी विभाग,closed
189,NoWard,11631,कामपा भित्र व्याण्ड भएकाे गैरीधारा लगाएतका क्षेत्रमा  एभरेष्ट कम्पनिकाे मसला बेचिरहेकाे छ अनुगमन गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,8/8/2024,कृषि तथा पशुपक्षी विभाग,closed
190,Ward 15,11626,स्वयम्भु स्तुपा पछाडी शान्ति दिपमा एउटा ठूलो घाउ आएर घाउमा  किरा परेको कुकुर बसेको छ । सिघ्र उपचार गरिदिनुपर्यो ।,8/7/2024,कृषि तथा पशुपक्षी विभाग,closed
191,Ward 6,11624,"चुच्चेपाटीको भाटभटेनीमा expire म्याद भएपनि कुहिएको, बिग्रीएको जस्तो बेबीकोन सामान बेचिरहेको छ । अनुगमन गर्नुपर्यो ।",8/7/2024,कृषि तथा पशुपक्षी विभाग,closed
192,Ward 14,11622,कामपा १४ वडा कुलेश्वर आवासको अगाडी एउटा कुकुर विरामी भएर धेरै बिजोग अवस्थामा छ । तुरुन्तै उद्दार गरिदिनुपर्यो ।,8/7/2024,कृषि तथा पशुपक्षी विभाग,closed
193,Ward 30,11609,३० वडा मैतिदेवि मन्दिरकाे आपपासमा एउटा कुकुलाइ किर्ना  लागेर सारै गाराे भयाे साथै टाेल दुर्घदित भयाे उपचार गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ ,8/5/2024,कृषि तथा पशुपक्षी विभाग,closed
194,Ward 11,11608,११ वडा त्रिपुरेश्वर वर्ड ट्रेड सेन्टर बस्ने कुकुरले दैनिक दुइ तिन जनालाइ टाेकेर दुख दियाे नियन्त्रमा लिनुपर्याे भन्ने गुनासाे आएकाे छ । ,8/5/2024,कृषि तथा पशुपक्षी विभाग,closed
195,NoWard,11606,बसन्तपुर हनुमानढोका क्षेत्रमा रहेका भुस्याहा कुकुरहरुलाई बन्ध्याकरण गरिदिनुपर्यो ।,8/4/2024,कृषि तथा पशुपक्षी विभाग,closed
196,Ward 6,11602,६ वडा चुचेपाटी टोल वावा वोर्डीङ स्कुल अगाडी कुकुरले स्कुलका वच्चाहरुलाई लखेटेर हेरान गर्यो  नयन्त्रणमा लिनु पर्यो ,8/3/2024,कृषि तथा पशुपक्षी विभाग,closed
197,Ward 32,11596,"३२ वडा काेटेश्वर भण्डारी चाेक शैलुङ नगरमा आँखा पाकेकाे ,गाडिले हानेकाे , हिड्न नसक्ने अवस्थामा सडक कुकुर विरामि छ तुरुन्त उपचार गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ",8/1/2024,कृषि तथा पशुपक्षी विभाग,closed
198,Ward 3,11593,कान्तिपुर हस्पिटल पछाडी रहेको फलफूल पसलेले म्याद गुज्रेको फ्रुटी जुस र सडेगलेको फलफूल बेचिरहेको छ । अनुगमन गर्नुपर्यो भन्ने गुनासो आएको छ ।,7/31/2024,कृषि तथा पशुपक्षी विभाग,closed
199,Ward 7,11592,७ वडा सिफलचाैर सरकारी बिध्यालय भन्दा अलि अगाडिकाे बाटाेमा भुषिया सडक कुकुरले सारै दुख दिएर धेरै मानिसलाइ टाेकिसके  नियन्त्रण गरिदिनुपर्याे  भन्ने गुनासाे आएकाे छ । ,7/31/2024,कृषि तथा पशुपक्षी विभाग,closed
200,Ward 22,11570,२२ वडा न्युराेड सांस्कृतिक भवनकाे एरिया नजिक १ वडा कुकुरले २/३ जनालाई टाेकिसक्याे नियन्त्रण गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ,7/25/2024,कृषि तथा पशुपक्षी विभाग,closed
201,Ward 4,11567,कामपा ४ वडा धुम्वराहीमा रहेको Tomo Dachi Restaurant ले आधा लिटर पानीको मूल्य साठी रुपै‌या लियो । अनुगमन गरिदिनुपर्यो भन्ने गुनासो आएको छ ।,7/25/2024,कृषि तथा पशुपक्षी विभाग,closed
202,Ward 29,11564,"२९ वडा घट्टेकुलाे कालिन्चाेक मार्गमा २ वटा कुकुर लुताे ,घाउखटिरा आएकाे ,  अरु कुकुरले टाेकेर  विरामि अवस्थामा छ  तुरुन्त उपचार गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ",7/24/2024,कृषि तथा पशुपक्षी विभाग,closed
203,Ward 29,11563,२९ वडा मैतिदेवि चाेकमा रहेकाे स्याङ्काे कट्टी रेस्टुरेन्टमा खाना खान जादा टेवल भरी साङ्ला र फाेहाेर छ सफा सुग्गर गर्नु भन्दा उल्टै गालि गर्छन्  अनुगमन गर्नु पर्याे भन्ने गुनासाे आएकाे छ । ,7/24/2024,कृषि तथा पशुपक्षी विभाग,closed
204,Ward 16,11552,"१६ वडा सामाखुसि  कुमारी क्लव नजिक नेतृत्वमार्ट मा लठ्ठापरठा किनेकाे Expair date भएपनि गन्हाएकाे ,तिताे अमिलाे र खान नमिल्ने छ तुरुन्त छानविन गरी कारबाहि गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ",7/21/2024,कृषि तथा पशुपक्षी विभाग,closed
205,NoWard,11547,विभिन्न सुपर मार्केटहरुमा Switzerland को Lindt भन्ने कम्पनीको चकलेट किनेर खाँदा बिग्रेको जस्तो महसुस भयो । २/३ चोटी किनेर खाँदा पनि यस्तै महसुस भयो र चकलेट भित्र माकुराको जालो जस्तो पनि देखियो तर Expire dateभने  बाँकि नै छ । Date expire भएको चकलेटलाई Re-packaging गरेर बेचेको हो कि के हो अनुगमन गरी आवश्यक कारवाही गर्नुपर्यो भन्ने गुनासो आएको छ ।,7/21/2024,कृषि तथा पशुपक्षी विभाग,closed
206,Ward 2,11533,२ वडा लाजिम्पाट सिटि हाेटेल अगाडि  बाइकमा आइरहेकाे बेला सडक कुकुरले टाेक्याे धेरै जनालाइ टाेकिरहेकाे छ नियन्त्रण गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ,7/17/2024,कृषि तथा पशुपक्षी विभाग,closed
207,Ward 9,11528,९ वडा बत्तिसपुतलिमा रहेकाे आगन रेष्टुरेन्टले  विहान बनाएकाे भनेर बासि बिग्रेकाे मिठाइ बेच्दछ अनुगमन गरिदिनुपर्याे भन्ने  गुनासाे आएकाे छ । ,7/16/2024,कृषि तथा पशुपक्षी विभाग,closed
208,Ward 7,11527,७ वडा सिफल चाैर मुनि एउटा सडक कुकुरलाई लुताे आइ घाउ भएकाे छ लुताेकाे सुइ लागाइ उपचार गर्नुपर्याे भन्ने गुनासाे आएकाे  छ । ,7/16/2024,कृषि तथा पशुपक्षी विभाग,closed
209,Ward 9,11520,"गैरी गाउँ CIST College को पछाडि पट्टि एउटा सडक कुकुर बिरामी परेको छ, उद्दार गर्दिन पर्यो भन्ने गुनासो आएको छ।",7/15/2024,कृषि तथा पशुपक्षी विभाग,closed
210,Ward 9,11509,सिनामंगल गुजेश्वोरी स्कुल खोला साइडमा ४/५ वटा कुकुरको बन्ध्याकरण गर्न पर्ने छ भन्ने गुनासो आएको छ।,7/14/2024,कृषि तथा पशुपक्षी विभाग,closed
211,Ward 31,11507,"i m living in hostel named MODEL BOYS HOSTEL KMC 31 ,NOGENDRA KANCHA CHOWK but condition of hostel is very weak such as there is no proprer clean. in every room there is hug cockroach even in kitchen somtime we found cockroaches in food too. waste food of three or four days keep inside ta kitchen it smells very bad. there is no proper management. even cook scold students when we complain. several times we complain to hostel associations but no action done by them KMC is our last hope ",7/13/2024,कृषि तथा पशुपक्षी विभाग,closed
212,Ward 13,11506,१३ वडा ताहाचल छाउनि निस्कने बाटाेमा  ५/६ जना मानिसलाई भुषिया कुकुरले टाेकिसक्याे नियन्त्रण गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ,7/12/2024,कृषि तथा पशुपक्षी विभाग,closed
213,NoWard,11501,पुतलिसडक मैतिदेवि जाने बाटाेकाे एउटा पसलबाट लिएकाे पिम्बहालचिप्समा साङ्ला भेटियाे स्याम्पल सुरक्षित छ कारबाहि गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,7/11/2024,कृषि तथा पशुपक्षी विभाग,closed
214,Ward 28,11491,"ताकेता: बागबजार श्रेष्ठ टेलारिङ्गको साइडबाट खसी बजार निस्कने गल्लीमा एउटा सडक कुकुर बिरामी परेर उठ्न नसकेको १ हप्ता भन्दा बढी भयो, उद्दार गरिदिन पर्यो भन्ने गुनासो आएको छ।",7/9/2024,कृषि तथा पशुपक्षी विभाग,closed
215,Ward 16,11488,"बनस्थली ढुंगेधारा तरकारी बजार एरियामा बिरालोहरु धेरै छन्, बन्ध्याकरण गर्दिन पर्यो भन्ने गुनासो आएको छ। ",7/8/2024,कृषि तथा पशुपक्षी विभाग,closed
216,Ward 28,11367,"बागबजार श्रेष्ठ टेलारिङ्ग खसी बजार निस्कने बाटोमा एउटा सडक कुकुर बिरामी परेर उठ्न नसकेको १ हप्ता भन्दा बढी भयो, उद्दार गरिदिन पर्यो भन्ने गुनासो आएको छ। ",7/8/2024,कृषि तथा पशुपक्षी विभाग,closed
217,Ward 15,11361,"सानोभर्याङ्ग हाउजिंगको मेन गेट जाने बाटोमा एउटा कालो कुकुर बिरामी अवस्थामा छ, हिड्न पनि नसक्ने भएर पानीमा भिजिरहेको हुँदा आएर उद्दार गर्दिनु पर्यो भन्ने गुनासो आएको छ।  ",7/6/2024,कृषि तथा पशुपक्षी विभाग,closed
218,Ward 6,11357,"कामपा ६ वडा सरस्वतीनगर भृकुटी चोकमा रहेको क्वालिटी किराना पसलले मासु, दुध, किराना सामान, खेलौना एउटै पसलमा बेच्न राखेको छ । मासुजन्य पदार्थलाई छुट्टै मापदण्ड अनुसार विक्री वितरण गर्न सुझाव आएको छ ।",7/4/2024,कृषि तथा पशुपक्षी विभाग,closed
219,Ward 8,11346,"कामपा ८ वडा पशुपतिनाथ मन्दिर नजिक सुमार्गी मार्गमा ३/४ वटा कुकुर बौहलाएर मान्छेलाई झम्टने, टोक्ने गरिरहेको छ । कुकुरको मुखबाट रगत पनि आइरहेको छ । नियन्त्रण गरिदिनुपर्यो भन्ने गुनासो आएको छ ।",7/3/2024,कृषि तथा पशुपक्षी विभाग,closed
220,Ward 16,11338,१६ वडा  गणेश मन्दिर ओरालाेमा रहेकाे शुभलक्ष्मी व्याण्ड बाजा पसलम हाइलाइन कम्पनिकाे जार ल्याउदा जार भित्र किरा भेटियाे अनुगमन गरी कारबाहि गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,7/2/2024,कृषि तथा पशुपक्षी विभाग,closed
221,Ward 28,11337,"बागबजार KMC  कलेज अगाडि सुपर लुम्बिनि फास्ट फुड र त्यस वरीपरी रहेकाे भाेजनालय , रेस्टुरेष्टले बासी खाना बेचिरहेकाे छ अनुगमन गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ",7/2/2024,कृषि तथा पशुपक्षी विभाग,closed
222,Ward 14,11329,१४ वडा कलंकि  पेट्राेल पम्म नजिक  कसैले २ वटा गाइकाे वाछा  छाेडेर गएकाे छ ति बाछा सडकमा गएर सडक दुर्घटना हुन सक्छ बाछाकाे उद्धार गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,7/1/2024,कृषि तथा पशुपक्षी विभाग,closed
223,Ward 13,11327,१३ वडा  टंकेश्वर मन्दिर वरीपरी मुखबाट र्याल चुहाएकाे डिस्टेपरकाे जस्ताे लक्षण देखिने एउटा कुकुर मन्दिर बाहिर वरिपरी घुमिरहेकाे छ तुरुन्त उपचार गर्नुपर्याे भन्ने गुनासाे  आएकाे छ । ,7/1/2024,कृषि तथा पशुपक्षी विभाग,closed
224,Ward 31,11325,कामपा ३१ वडा पुरानाे बानेश्वर मिलन चाेक भ्यालिभ्यू स्कुल आसपासमा एउटा  सडक कुकुर रहेकाे छ कुकुरकाे बन्धाकरण गरिदिनुपर्याे भन्ने   गुनासाे आएकाे छ । ,7/1/2024,कृषि तथा पशुपक्षी विभाग,closed
225,Ward 27,11324,कामपा २७ वडा ज्याठा (एण्डिज) नेपाल डेरी  काे पसलमा म्याद नगुज्रिएपनि  कुकिज किन्दा प्याकेट भित्र ढुसि पलाइकाे रैछ साथै डेट एक्सपाएर भएकाे खानेकुरा पनि राखिएकाे छ अनुगमन गरी कारबाहि  गरिनुपर्याे भन्ने गुनासाे आएकाे छ । ,7/1/2024,कृषि तथा पशुपक्षी विभाग,closed
226,Ward 26,11321,२६ वडा कार्यालय वरिपरी आदर्श याेग हरी स्कुल दुग्ध विकाश  संस्थान सँगै १ वटा भुस्याहा  कुकुरले दैनिक रुपमा सधै विध्यार्थि र  वटुवालाइ टाेक्छ नियन्त्रण गर्नुपर्याे भन्ने गुनासाे आएकाे छ ,6/30/2024,कृषि तथा पशुपक्षी विभाग,closed
227,Ward 22,11313,"वार्ड २२, नरसिंह मन्दिर निर बाटोको कुकुर घाइते भएर बसेको ३/४ दिन भैसकेको छ | कुकुर हिड्न पनि सकेको छैन, कुकुरको उद्धार गरिदिनु पर्यो भन्ने गुनासो आएको छ |",6/28/2024,कृषि तथा पशुपक्षी विभाग,closed
228,Ward 30,11310,"ज्ञानेश्वर मन्दिर अगाडि डेरी पसल सँगै क्यान्टिनमा ताजा , ताजा भनेर बासि  गन्ध आउने  समसा   बेचिरहेकाे छ तुरुन्त कारबाहि गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ",6/28/2024,कृषि तथा पशुपक्षी विभाग,closed
229,Ward 31,11302,"शान्तिनगर ठुलो खरिबोट निर बाटोको कुकुरलाइ गाडीले हानेर बाटोको बीचमा घाइते भएर रगत बगाएर बसेको छ, तुरुन्तै कुकुरको उद्धार गर्नु पर्यो भन्ने गुनासो आएको छ |",6/27/2024,कृषि तथा पशुपक्षी विभाग,closed
230,Ward 11,11301,"११ वडा माइतिघर मण्डला विस्तारित सडक खण्डकाे छेउमा काठकाे गाेदाम  निर जस्ताकाे छाना लगाएकाे छाप्राे खाेलेकाे छ पसल बिना दर्ता  खाेलेकाे छ हाेडिङ बाेर्ड केहि पनि राखेकाे छैन खाना, खाजा काे पैसा मनाेमानित लिने गरेकाे छ र खाना गुणस्तर  हिन छ तुरुन्त अनुगमन गरी कारबाहि गर्नुपर्याे भन्ने गुनासाे आएकाे छ ।  ",6/27/2024,"नगर प्रहरी बल,कृषि तथा पशुपक्षी विभाग",closed
231,Ward 32,11298,३२ वडा बालकुमारी ट्रिडम कलेज सँगै कामपाले कुकुलाई बन्धाकरण अपरेशन गरेर त्यसै छाड्दा अहिले कुकुर विमारी  परेकाे छ तुरुन्त उपचार गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,6/27/2024,कृषि तथा पशुपक्षी विभाग,closed
232,Ward 12,11297,"वार्ड १२, मतली मन्दिरमा एउटा कुकुर सार्है बिरामी परेर बसेको २/३ दिन भैसकेको छ, कुकुरको उद्धार गर्नु पर्यो भन्ने गुनासो आएको छ |",6/26/2024,कृषि तथा पशुपक्षी विभाग,closed
233,Ward 26,11293,"लैनचौर Ncell टावरको पछाडी पन्चकन्य टोलमा बाटोको कुकुर घाइते भएर बसेको ३/४ दिन भैसकेको छ, कुकुरको उद्धार गर्दिनु पर्यो भनेर गुनासो आएको छ |",6/26/2024,कृषि तथा पशुपक्षी विभाग,closed
234,Ward 29,11288,"कामपा २९ डिल्लीबजार, घट्टेकुलो घर न‌. ६६ कल्याणपुर पाण्डेको घरमा  कहिँ कतैबाट  ७-८ वटा बिरालोको माउ, बच्चा आएर बसेका छन् । उहाँहरुले जति हटाउन कोशिस गरे पनि हटाउन सक्नुभएन । बिरालोहरुले २-३ जनालाई टोकेर घाइते पनि बनाइसकेका छन् । उक्त बिरालोलाई नियन्त्रणमा लिई घरबाट हटाइदिनुहुन भन्ने गुनासो आएको छ ।",6/25/2024,कृषि तथा पशुपक्षी विभाग,closed
235,Ward 31,11283,३१ वडा शान्तिनगर गेटसँगै २/३ महिनादेखि एउटा कुकुरकाे राैहरु सबै झरेकाे छ साथै लुताे पनि आएकाे छ तुरुन्त उपचार गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ,6/24/2024,कृषि तथा पशुपक्षी विभाग,closed
236,Ward 7,11280,"समता हस्पिटल नजिकको महादेवस्थानको अलि माथि गल्लीमा एउटा सडक कुकुर बिरामी भएर १ हप्ता देखि खाना पनि खान नसक्ने भएको छ, आएर उद्दार गरिदिनु पर्यो भन्ने गुनासो आएको छ। ",6/24/2024,कृषि तथा पशुपक्षी विभाग,closed
237,Ward 6,11279,बौद्ध वाल्मिकी मा एउटा सडक कुकुरलाई Skin disease र आँखामा पुरै घाउ भएर मर्ने अवस्थामा पुगेको छ तुरुन्त उद्दार गर्दिनु पर्यो भन्ने गुनासो आएको छ। ,6/24/2024,कृषि तथा पशुपक्षी विभाग,closed
238,Ward 26,11277,२६ वडा मैपि मन्दिर  नपुग्दै जनमार्गमा कसैले हानि मुखभरी घाउँ बनाएकाे  घाइते कुकुर छ शिघ्रस्वास्थ्य उपचार गराइदिनुपर्याे भन्ने गुनासाे आएकाे छ । ,6/23/2024,कृषि तथा पशुपक्षी विभाग,closed
239,Ward 16,10278,१६ वडा बालाजु चाेकमा रेविज शंका लागेकाे कुकुर हिडिरहेकाे छ सबैलाइ त्रसित बनायाे तुरुन्त नियन्त्रमा लिई उपचार गर्नुपर्याे  भन्ने गुनासाे आएकाे छ ,6/22/2024,कृषि तथा पशुपक्षी विभाग,closed
240,Ward 10,10277,"वडा १० थापागाउँ सरस्वति मार्ग नाेवेल एकेडेमि  निर  एउटा भुसिया कुकुरले  बाटाेमा हिड्ने मानिसलाइ टाेक्ने , भुक्ने गरी सारै दुख दिईरहेकाे छ नियन्त्रण गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ",6/22/2024,कृषि तथा पशुपक्षी विभाग,closed
241,Ward 14,9282,१४ वडा कलंकि खसिबजार नपुग्दै ग्यारेज निर एउटा सानाे गाइकाे बाक्षा कसैले छाडेर गएकाे छ उद्धार गरिदिनुपर्याे । ,6/21/2024,कृषि तथा पशुपक्षी विभाग,closed
242,Ward 10,9280,"ताकेता; १० वडा बानेश्वर कृष्सल फुडसल काे अगाडि रहेकाे अनिल मिट सपले खसि भनेर बाख्राकाे मासु बेच्याे १० सिट्ठी लगाउदा पनि नपाकेर पसलमा गएर भन्दा झगडा परेपछि पैसा फिर्ता दियाे तुरुन्त अनुगमन गरी कार्बाहि गर्नुपर्याे भन्ने गुनासाे आएकाे छ ।	",6/21/2024,कृषि तथा पशुपक्षी विभाग,closed
243,Ward 28,9279,"राष्ट्रिय नाच घरको छेउमा एउटा कालो रङ्गको भोटे कुकुर छ, खाना दिदा नि खादैन कपाल धेरै बाक्लो भएर र धेरै गर्मीले होला उसलाई गाह्रो भइरहेको छ, भ्याक्सिन पनि लगाउन पर्ने हुन सक्छ त्यसकारण उसको उद्दार गरिदिनु होला भन्ने गुनासो आएको छ। ",6/21/2024,कृषि तथा पशुपक्षी विभाग,closed
244,Ward 10,9272,"नयाँ बानेश्वर सिद्धेनर टोलमा ८ वटा भुसिया कुकुरले साह्रै दुख दिएको र धेरै मान्छेलाई टोकिसकेको हुँदा कुकुरहरुको व्यवस्थापन गर्दिन पर्यो, पहिला नै गुनासो टिपाएको हुँदा पनि काम भएन पनि  भन्ने गुनासो आएको छ। ",6/20/2024,कृषि तथा पशुपक्षी विभाग,closed
245,Ward 10,9268,१० वडा बानेश्वर कृष्सल फुडसल काे अगाडि रहेकाे अनिल मिट सपले खसि भनेर बाख्राकाे मासु बेच्याे १० सिट्ठी लगाउदा पनि नपाकेर पसलमा गएर भन्दा झगडा परेपछि पैसा फिर्ता दियाे तुरुन्त अनुगमन गरी कार्बाहि गर्नुपर्याे भन्ने गुनासाे  आएकाे छ । ,6/20/2024,कृषि तथा पशुपक्षी विभाग,closed
246,Ward 15,9267,"स्वयम्भु रिंग रोड साइडमा एउटा सडक कुकुर बिरामी भइरहेको छ, त्यसको उद्दार गर्दिन पर्यो भन्ने सूचना आएको छ।",6/20/2024,कृषि तथा पशुपक्षी विभाग,closed
247,Ward 7,9265,वडा ७ मित्रपार्क सिफलवाट भित्र लामपाेखरीमा एउटा कुकुरलाइ गाडिले हानेर घाइते भाकाे छ कुकुरकाे अवस्था नाजुक छ  तुरुन्त उपचार गर्नुपर्याे भन्ने गुनासेा आएकाे छ । ,6/20/2024,कृषि तथा पशुपक्षी विभाग,closed
248,NoWard,9264,"Mountain Nist नाम गरेको जारको पानीमा किरा नै किरा भेटिएको छ, हिजो मात्र लिएर राखेको पानीमा यस्तो भएको छ कम्पनीमा गएर अनुगमन गर्दिन पर्यो भन्ने गुनासो आएको छ। ",6/19/2024,"नगर प्रहरी बल,कृषि तथा पशुपक्षी विभाग",closed
249,Ward 26,9258,Poor food quality in most of the street restaurants at night in Thamel! We need an inspection there!,6/19/2024,कृषि तथा पशुपक्षी विभाग,closed
250,Ward 7,9251,"७ वडा गाैरीघाट खरिबाेट सँगै तरकारी बजारमा रहेकाे एउटा कुकुरले मानिसलाइ टाेक्ने लखन्ने  गर्दा बच्चा , बृद्ध र बटुवालाइ धेरै गाराे भयाे कुकुलाइ नियन्त्रमा लिनुपर्याे  भन्ने गुनासाे आएकाे छ । ",6/18/2024,कृषि तथा पशुपक्षी विभाग,closed
251,Ward 6,9247,बाैद्ध रामहिटि कैलाश बाेडिङ स्कुलसँगै  बाटाेमा एउटा कुकलाइ बन्धाकरण गर्न बाँकि छ भन्ने गुनासाे पटक पटक आएकाे । ,6/17/2024,कृषि तथा पशुपक्षी विभाग,closed
252,Ward 12,9241,"कामपा १२, टेकु सरस्वती निकेतन स्कुल नजिक एउटा सडक कुकुर बिरामी भएर हिँड्डुल गर्न नसक्ने अवस्थामा छ । तुरुन्त उपचार गरिदिनुपर्यो ।",6/17/2024,कृषि तथा पशुपक्षी विभाग,closed
253,Ward 16,9224,"बनस्थली खरिबोट निर दुइटा बाटोको कुकुरले मान्छेलाइ टोकेर हिड्न पनि दिएको छैन, कुकुरको रेस्क्यु गर्नु पर्यो भन्ने गुनासो आएको छ | ",6/14/2024,कृषि तथा पशुपक्षी विभाग,closed
254,Ward 3,9216,"महाराजगंज  Pennwood Academy भन्ने विद्यालयमा बाँसी, गुणस्तरता नभएको खानेकुरा दिएर विद्यार्थीहरुको पेट दुख्ने समस्या आएको छ | त्यहाँ निरीक्षण, अनुगमन गर्नु पर्यो भन्ने गुनासो आएको छ |  ",6/13/2024,"नगर प्रहरी बल,कृषि तथा पशुपक्षी विभाग",closed
255,Ward 28,9213,बागबजार एरियाको होस्टेलहरुमा पानि र खानेकुराको गुणस्तरता एकदम खराब छ जसले गर्दा विद्यार्थीहरुको स्वास्थ्यमा असर परेको छ  | सबै होस्टेलको गुणस्तरताको लागि अनुगमन गर्नु पर्यो भन्ने गुनासो साथै सुझाव आएको छ |,6/13/2024,"नगर प्रहरी बल,कृषि तथा पशुपक्षी विभाग",closed
256,Ward 15,9197,"ताकेता : स्वयम्भु मुस्लिम गल्लि निर बाटोको कुकुर साह्रै बिरामी परेको छ, कुकुरको छिटो उद्धार गर्नु पर्यो भन्ने गुनासो आएको छ |",6/12/2024,कृषि तथा पशुपक्षी विभाग,closed
257,Ward 15,9196," स्वयम्भु मुस्लिम गल्लि निर बाटोको कुकुर साह्रै बिरामी परेको छ, कुकुरको छिटो उद्धार गर्नु पर्यो भन्ने गुनासो आएको छ |",6/11/2024,कृषि तथा पशुपक्षी विभाग,closed
258,Ward 13,9195,वार्ड १३ सोल्टी मोड निर भएको Cake Bake नाम गरेको बेकरीमा ढुसी परेको  क्रीम रोल बेचिराखेको छ | अनुगमन गर्नु पर्यो भन्ने गुनासो आएको छ |,6/11/2024,कृषि तथा पशुपक्षी विभाग,closed
259,Ward 26,9191,२६ वडा पवित्रा नगरकाे गुरुजी डाईभिङ सेन्टरकाे विचमा बाैलाएकाे  कुकुरले  धेरैलाइ टाेकिसक्याे नियन्त्रण गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ,6/11/2024,कृषि तथा पशुपक्षी विभाग,closed
260,Ward 29,9185,"ताकेता : घट्टेकुलो Hygienic Meat Workshop निर बाटोको कुकुरले धेरै मान्छेलाई टोकिसक्यो, कुकुरको व्येवास्थापन गरिदिनु पर्यो भन्ने गुनासो आएको छ |",6/10/2024,कृषि तथा पशुपक्षी विभाग,closed
261,Ward 5,9182,"हाँडीगाउँ कृष्ण मन्दिरको ओरालो निर एउटा सडक कुकुरको ट्यूमर पलाएर बसेको छ, हिड्न पनि सकेको छैन | कुकुरको उद्धार गर्नु पर्यो भन्ने गुनासो आएको छ |",6/10/2024,कृषि तथा पशुपक्षी विभाग,closed
262,Ward 13,9163,"वार्ड १३ रविभवनमा रहेको मुक्त अटो वोर्क शपले ३३० MRP भएको सामान को १००० लियो | सामान फेरेको ज्याला रकम भनेर छुटै पनि लिएको छ, बिल पनि छ | अनुगमन गर्नुपर्यो भन्ने गुनासो आएको छ |",6/9/2024,कृषि तथा पशुपक्षी विभाग,closed
